date
gm_num
dow
team_v
league_v
team_v_gm
team_h
league_h
team_h_gm
score_v
score_h
gm_len
day_night
interrupt
forfeit
protest
park_id
attend
gm_time
lin_score_v
lin_score_h
atbat_v
hits_v
doubles_v
triples_v
homeruns_v
rbi_v
sac_hit_v
sac_fly_v
hit_by_pit_v
walks_v
int_walks_v
strikeouts_v
steals_v
no_steals_v
gnd2dbl_v
catch_int_first_v
left_base_v
num_pits_v
pit_er_v
team_er_v
num_wild_v
balks_v
putouts_v
assists_v
errors_v
pass_balls_v
dbl_plays_v
tri_plays_v
atbat_h
hits_h
doubles_h
triples_h
homeruns_h
rbi_h
sac_hit_h
sac_fly_h
hit_by_pit_h
walks_h
int_walks_h
strikeouts_h
steals_h
no_steals_h
gnd2dbl_h
catch_int_first_h
left_base_h
num_pits_h
pit_er_h
team_er_h
num_wild_h
balks_h
putouts_h
assists_h
errors_h
pass_balls_h
dbl_plays_h
tri_plays_h
home_ump_id
home_ump_name
1b_ump_id
1b_ump_name
2b_ump_id
2b_ump_name
3b_ump_id
3b_ump_name
lf_ump_id
lf_ump_name
rf_ump_id
rf_ump_name
mgr_id_v
mgr_name_v
mgr_id_h
mgr_name_h
win_pit_id
win_pit_name
los_pit_id
los_pit_name
sav_pit_id
sav_pit_name
gmwin_bat_id
gmwin_bat_name
st_pit_id_v
st_pit_name_v
st_pit_id_h
st_pit_name_h
plr1_id_v
plr1_name_v
plr1_pos_v
plr2_id_v
plr2_name_v
plr2_pos_v
plr3_id_v
plr3_name_v
plr3_pos_v
plr4_id_v
plr4_name_v
plr4_pos_v
plr5_id_v
plr5_name_v
plr5_pos_v
plr6_id_v
plr6_name_v
plr6_pos_v
plr7_id_v
plr7_name_v
plr7_pos_v
plr8_id_v
plr8_name_v
plr8_pos_v
plr9_id_v
plr9_name_v
plr9_pos_v
plr1_id_h
plr1_name_h
plr1_pos_h
plr2_id_h
plr2_name_h
plr2_pos_h
plr3_id_h
plr3_name_h
plr3_pos_h
plr4_id_h
plr4_name_h
plr4_pos_h
plr5_id_h
plr5_name_h
plr5_pos_h
plr6_id_h
plr6_name_h
plr6_pos_h
plr7_id_h
plr7_name_h
plr7_pos_h
plr8_id_h
plr8_name_h
plr8_pos_h
plr9_id_h
plr9_name_h
plr9_pos_h
misc_info
data_quality
